	uri	relation1.possiblyIdentical	headword.en	DELETE	headword.syr	sourceURI.headword.syr	DELETE	DELETE	citedRange.headword.syr	citationUnit.headword.syr	anonymousDesc.syr	sourceURI.anonymousDesc.syr	citedRange.anonymousDesc.syr	citationUnit.anonymousDesc.syr	DELETE	DELETE	gender1	sourceURI.gender1	citedRange.gender1	abstract.en	sourceURI.abstract.en	citedRange.abstract.en	date1	notBefore.date1	notAfter.date1	type.date1	sourceURI.date1	citedRange.date1	date2	date2.notBefore	date2.notAfter	date2.type	sourceURI.date2	citedRange.date2	name1.en	sourceURI.name1	DELETE?	citedRange.name1	citationUnit.name1	idno
			Abraham (abbot in Jerusalem)		ܐܒܪܗܡ	9KL93RUC	44	3.1.32	44#3.1.32	p#ch							http://syriaca.org/keyword/male	9KL93RUC	44	Abraham was abbot of the monastery at the Nea church in Jerusalem and successor of Photius, as recorded in Joh. Eph., EH 1.32.	9KL93RUC	44	end 6th century	0578-01-01		floruit	9KL93RUC	44												
			Acacius (son of Archelaus)		ܐܩܩ ܐܪܟܐܠܐܘܢ	9KL93RUC	278; 279	3.6.2	278; 279#3.6.2	p#ch							http://syriaca.org/keyword/male	9KL93RUC	278; 279	Acacius was the son of an otherwise unknown Archelaus and served as an envoy for Justin II. In 573, he was despatched to the Roman troops in the east to announce the dismissal of their general Marcian, as reported in Joh. Eph., EH 6.2.	7K28WD3W	9-10	573			floruit	7K28WD3W	9-10		0573-12-31		death	7K28WD3W	9-10	Acacius	7K28WD3W	PLRE 3	Acacius 4#9-10	entry#p	
			Adarmahan		ܐܕܪܡܗܢ	9KL93RUC	292; 308; 313	3.6.6; 3.6.13; 3.6.17	292; 308; 313#3.6.6; 3.6.13; 3.6.17	p#ch	ܡܪܙܒܢܐ	9KL93RUC	275; 277; 313#3.6.17	p#ch	275; 277; 313	3.6.17	http://syriaca.org/keyword/male	9KL93RUC	292; 308; 313	Adarmahan was a leading member of the Persian nobility and a marzban, a general, repeatedly leading armies into Roman territory in the 570s and early 580s, as reported in Joh. Eph., EH 6.6, 13 and 17.	7K28WD3W	12-13	573-581			floruit	7K28WD3W	12-13		0581-12-31		death	7K28WD3W	12-13	Adarmaanes	7K28WD3W	PLRE 3	Adarmaanes#12-13	entry#p	https://en.wikipedia.org/wiki/Adarmahan
			Aetherius		ܐܬܪܐܝܣ	9KL93RUC	95	3.2.29	95#3.2.29	p#ch							http://syriaca.org/keyword/male	9KL93RUC	95	A leading senator at the end of Justinian's reign, Aetherius repeatedly conspired against the emperor. Despite the failure of these plots, he remained powerful and participated in the plot leading to the deposition of patriarch Eutychius in early 565. In 566, he was accused of attempting to poison Justin II and executed. Joh. Eph., EH 2.29, remembers him as a schemer who had taught the art of causing mischief to the quaestor Anastasius.	7K28WD3W	21-22	560-566			floruit	7K28WD3W	21-22	0566-10-03			death	7K28WD3W	21-22	Aetherius	7K28WD3W	PLRE 3	Aetherius 2#21-22	entry#p	
	67		Ahudemmeh		ܐܚܘܕܡܐ	9KL93RUC	317	3.6.20	317#3.6.20	p#ch							http://syriaca.org/keyword/male	9KL93RUC	317	Ahudemmeh was a miaphysite bishop in Persian Mesopotamia. He was consecrated, towards the end of the 550s, by Jacob Burd'oyo. Known as the 'apostle of the Arabs', he founded many churches and monasteries and spread miaphysite Christianity in regions that had been traditionally held by the dyophysite Church of the East. In the mid-570s, he was martyred on the orders of Khosrow because he had baptised one of the king's sons. However, Khosrow had been well inclined towards him previously, as is recorded in Joh. Eph., EH 6.20. The king hosted religious disputations between Ahudemmeh and the katholikos of the Church of the East, probably Joseph, and declared Ahudemmeh as the victor.	N42AM4Q2	36-37	mid-6th century			floruit	N42AM4Q2	36-37												https://en.wikipedia.org/wiki/Ahudemmeh
			Alexander (the Great)		ܐܠܟܣܢܕܪܣ	9KL93RUC	86; 197; 302; 305; 311	3.2.24; 3.4.13; 3.6.10; 3.6.11; 3.6.14	86; 197; 302; 305; 311#3.2.24; 3.4.13; 3.6.10; 3.6.11; 3.6.14	p#ch							http://syriaca.org/keyword/male	9KL93RUC	86; 197; 302; 305; 311	King of Macedonia in the fourth century BCE, Alexander is famous for his campaigns with which he conquered the powerful Persian Empire, thereby ushering in the spread of Greek culture into large parts of western Asia.	5NKETXXN	I, 469-474	356-323 BCE	0356-07-20		floruit	5NKETXXN	I, 469-474	0323-06-11			death	5NKETXXN	I, 469-474						https://en.wikipedia.org/wiki/Alexander_the_Great
	2265		Anastasios I (emperor)		ܐܢܣܛܣ	9KL93RUC	50; 72; 73; 264; 271; 292; 306	3.1.41; 3.2.11; 3.2.12; 3.5.14; 3.5.20; 3.6.5; 3.6.12	50; 72; 73; 264; 271; 292; 306#3.1.41; 3.2.11; 3.2.12; 3.5.14; 3.5.20; 3.6.5; 3.6.12	p#ch							http://syriaca.org/keyword/male	9KL93RUC	50; 72; 73; 264; 271; 292; 306	Anastasius ruled the Roman Empire from 491 to 518. The wealth of the imperial treasury increased considerably during his reign. He was the last emperor who did not insist on the orthodoxy of the council of Chalcedon and, in his last years, allowed the accession of anti-Chalcedonian bishops to major episcopal sees, such as Severus in Antioch.	6RXKPRGP	78-80	491-518	0491-04-11		floruit	6RXKPRGP	78-80	0518-07-09			death	6RXKPRGP	78-80	Anastasius	6RXKPRGP	PLRE 2	Anastasius 4#78-80	entry#p	https://en.wikipedia.org/wiki/Anastasius_I_Dicorus
			Anastasius I (patriarch of Antioch)		ܐܢܣܛܣ	9KL93RUC	50	3.1.41	50#3.1.41	p#ch							http://syriaca.org/keyword/male	9KL93RUC	50	An important theologian, Anastasius was the ambassador of the patriarchate of Alexandria in Antioch. He succeeded Domninus as patriarch of Antioch in about 559 and was deposed by Justin II in 570. He resided in Constantinople for about 23 years, until the death of his successor Gregory, and then returned to Antioch as patriarch in 593.	BJFJXJJE	87	559-598	0559-01-01	0598-12-31	floruit	BJFJXJJE	87		0598-01-01	0598-12-31	death	BJFJXJJE	87	Anastasius I Antiochenus	JLMCGNS9	CPG	6944-6964#III, 313-318	entry#p	https://en.wikipedia.org/wiki/Anastasius_I_of_Antioch
			Anastasius (quaestor sacri palatii)		ܐܢܣܛܣ ܩܣܛܘܪ	9KL93RUC	24; 95	3.1.19; 3.2.29	24; 95#3.1.19; 3.2.29	p#ch	ܩܐܣܛܘܪ	9KL93RUC	37; 38; 39; 96#3.1.27; 3.1.29; 3.2.29	p#ch	37; 38; 39; 96	3.1.27; 3.1.29; 3.2.29	http://syriaca.org/keyword/male	9KL93RUC	24; 95	Anastasius was a high-ranking functionary under Justin II, serving both as magister officiorum and as quaestor sacri palatii. Praised in Corippus' panegyric poem on Justin II, he is especially remembered in Joh. Eph., EH 2.29, as a fierce persecutor of the miaphysites.	7K28WD3W	64-66	565-c.572	0565-11-14		floruit	7K28WD3W	64-66		0572-12-31	0574-12-31	death	7K28WD3W	64-66	Anastasius	7K28WD3W	PLRE 3	Anastasius 14#64-66	entry#p	https://en.wikipedia.org/wiki/Anastasius_of_Samaria
			Anatolius		ܐܢܛܠܝܣ	9KL93RUC	155; 156; 158; 165	3.3.27; 3.3.28; 3.3.29; 3.3.33	155; 156; 158; 165#3.3.27; 3.3.28; 3.3.29; 3.3.33	p#ch							http://syriaca.org/keyword/male	9KL93RUC	155; 156; 158; 165	Anatolius was, in the late 570s, provincial governor of the Osrhoene in Roman Mesopotamia. Joh. Eph., EH 3.27-33, describes how this high-ranking official was discovered to be a pagan; he was arrested and brought to Constantinople, where the supposed presence of pagans in the imperial administration led to riots. Tiberius finally ordered a severe punishment of the alleged pagans and Anatolius was executed.	7K28WD3W	72-73	c.579			floruit	7K28WD3W	72-73			0580-12-31	death	7K28WD3W	72-73	Anatolius	7K28WD3W	PLRE 3	Anatolius 8#72-73	entry#p	https://en.wikipedia.org/wiki/Anatolius_(Osroene)
