Exclude?,FULL URI,uri,Notes,headword.en,sourceURI.headword.en,citedRange.headword.en,citationUnit.headword.en,name1.en,sourceURI.name1,citedRange.name1,citationUnit.name1,name2.syr,sourceURI.name2,citedRange.name2,citationUnit.name2,name3.grc,sourceURI.name3,citedRange.name3,citationUnit.name3,name4.en,sourceURI.name4,citedRange.name4,citationUnit.name4,abstract.en,sourceURI.abstract.en,citedRange.abstract.en,citationUnit.abstract.en,idno,idno,idno,idno,idno
,http://syriaca.org/person/3802,3802,,Severian of Gabala,,,,Severianus of Gabala,9HGARXCQ,3#1322#Severianus of Gabala,vol#p#entry,,,,,,,,,,,,,"A Syrian bishop known for his role in the conflict that led to the downfall of John Chrysostom. After gaining popularity as a preacher in Constantinople, he became involved in political and ecclesiastical intrigues against Chrysostom, aligning with Empress Eudoxia and participating in the accusations at the Synod of the Oak. A number of his sermons survive, including homilies on Genesis and the creation of the world.",7X46I6X5,"II A,2#1930-1932",vol#p,,https://en.wikipedia.org/wiki/Severian_of_Gabala,,https://d-nb.info/gnd/118796771,
,http://syriaca.org/person/4001,4001,,Saliba bar Zachariah,,,,Ṣalībā bar Zechariah,9HGARXCQ,1#347-349#CCCCXXXI,vol#p#entry,,,,,,,,,Saliba bar Zechariah,9HGARXCQ,3#1319#Ṣalībā bar Zechariah,vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4003,4003,,Mar Hananya,,,,Mār Hananyā,9HGARXCQ,1#381-382#CCCCXCII,vol#p#entry,,,,,,,,,Ananias,9HGARXCQ,3#1243#Ananias (Ḥananyā),vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4005,4005,,Mar Daniel,,,,Daniel (M.),9HGARXCQ,2#784-788#DCCXCIII,vol#p#entry,ܡܪܝ ܕܢܐܝܠ,9HGARXCQ,2#784-788#DCCXCIII,vol#p#entry,,,,,Daniel,9HGARXCQ,3#1267#Daniel (M.),vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4006,4006,,Sabinus of Constantina,9HGARXCQ,3#1318#Sabinus of Constantina,vol#p#entry,"Sabinus, bishop of Constantina",9HGARXCQ,3#1150#DCCCCLXXIV,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4007,4007,,George of Scythopolis,9HGARXCQ,2#493-497#DCXXV,vol#p#entry,,,,,,,,,,,,,George (of Baishan or Scythopolis),9HGARXCQ,"3#1275#George, of Baishan or Scythopolis",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4009,4009,,Isaac of Scete,9HGARXCQ,3#1290#Isaac (?) of Scete,vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4010,4010,,Eusebius the Monk ,,,,Eusebius the monk ,9HGARXCQ,3#1273#Eusebius the monk ,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4014,4014,,John bar Gannavai of Tagrit,,,,John bar Gannāvai of Tagrit,9HGARXCQ,2#876-882#DCCCXLI,vol#p#entry,,,,,,,,,"John bar Gannavai, of Tagrit",9HGARXCQ,"3#1297#John b. Gannavai, of Tagrit",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4015,4015,,Rabban Daniel,9HGARXCQ,2#876-882#DCCCXLI,vol#p#entry,,,,,,,,,,,,,Daniel,9HGARXCQ,3#1267#Daniel (rabban) ,vol#p#entry,,,,,,,,,
personGrp,http://syriaca.org/person/4016,4016,Collective person,"The Bishops of Armenia Who Wrote to Proclus of Constantinople, Concerning the Writings of Theodore of Mopsuestia",,,,The bishops of Armenia,9HGARXCQ,2#719-721#DCCLVIII,vol#p#entry,,,,,,,,,The Bishops of Armenia,9HGARXCQ,"3#1246#Armenia, the bishops of",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4017,4017,,Felix of Rome,9HGARXCQ,3#1274#Felix of Rome,vol#p#entry,,,,,,,,,,,,,,,,,Bishop of Rome from 269 to 274. He is said to have corresponded with Domnus of Antioch and Maximus of Alexandria during controversies surrounding Paul of Samosata.,7X46I6X5,"VI,2#2168#https://de.wikisource.org/wiki/RE:Felix_18",vol#p#URL,https://www.wikidata.org/wiki/Q134687,https://de.wikipedia.org/wiki/Felix_I.,https://en.wikisource.org/wiki/Author:Felix_I,https://d-nb.info/gnd/119221799,https://www.trismegistos.org/author/317
,http://syriaca.org/person/5017,5017,,Plutarch,9HGARXCQ,3#1316#Plutarch,vol#p#entry,,,,,,,,,,,,,,,,,"A Greek philosopher, historian, and biographer whose life is known mainly from remarks in his own writings. A Platonist thinker and priest at Delphi, he wrote extensively on ethics, religion, and philosophy in the collection known as the Moralia, and is best known for the Parallel Lives, a series of paired biographies comparing Greek and Roman statesmen.",7X46I6X5,"XXI,1#636#https://de.wikisource.org/wiki/RE:Plutarchos_2",vol#p#URL,https://www.wikidata.org/wiki/Q41523,https://de.wikipedia.org/wiki/Plutarch,https://de.wikisource.org/wiki/Plutarch,https://d-nb.info/gnd/118595237,https://www.trismegistos.org/author/698
